LSTM Nodes,Dense Nodes,MSE
6,6,11.3922
4,2,11.3934
7,5,11.3975
4,9,11.3979
7,8,11.3981
7,7,11.3987
9,6,11.3993
6,7,11.4006
2,5,11.4006
8,5,11.4007
4,1,11.4020
8,9,11.4040
1,4,11.4045
1,8,11.4060
2,3,11.4061
8,3,11.4067
8,1,11.4074
4,4,11.4078
4,3,11.4084
7,3,11.4087
9,9,11.4087
8,6,11.4088
3,5,11.4091
5,5,11.4099
3,3,11.4101
9,7,11.4101
5,7,11.4104
5,6,11.4110
2,6,11.4110
8,7,11.4112
2,2,11.4112
2,7,11.4114
1,3,11.4117
9,5,11.4121
7,6,11.4126
7,9,11.4129
1,6,11.4130
6,4,11.4130
5,9,11.4140
7,2,11.4140
3,2,11.4143
4,8,11.4146
8,4,11.4147
8,8,11.4151
6,9,11.4154
4,7,11.4161
2,8,11.4167
1,9,11.4167
6,3,11.4171
2,9,11.4171
3,7,11.4173
8,2,11.4182
1,5,11.4182
2,4,11.4182
9,8,11.4188
6,1,11.4192
9,4,11.4212
1,7,11.4213
5,8,11.4216
3,1,11.4223
4,6,11.4227
5,3,11.4228
6,8,11.4233
3,9,11.4237
1,1,11.4239
6,5,11.4244
5,4,11.4246
9,2,11.4255
3,6,11.4257
1,2,11.4287
5,1,11.4287
6,2,11.4295
9,3,11.4317
4,5,11.4323
3,8,11.4326
7,4,11.4328
5,2,11.4349
3,4,11.4408
2,1,11.4421
7,1,11.4426
9,1,11.4474
